"","title","author","subject","abstract","date"
"11","efficiently computing similarities to private datasets","arturs backurs, zinan lin, sepideh mahabadi, sandeep silwal, jakub tarnawski","cryptography and security","many methods in differentially private model training rely on computing the similarity between a query point (such as public or synthetic data) and private data. we abstract out this common subroutine and study the following fundamental algorithmic problem: given a similarity function $f$ and a large high-dimensional private dataset $x \subset \mathbb{r}^d$, output a differentially private (dp) data structure which approximates $\sum_{x \in x} f(x,y)$ for any query $y$. we consider the cases where $f$ is a kernel function, such as $f(x,y) = e^{-\|x-y\|_2^2/\sigma^2}$ (also known as dp kernel density estimation), or a distance function such as $f(x,y) = \|x-y\|_2$, among others. our theoretical results improve upon prior work and give better privacy-utility trade-offs as well as faster query times for a wide range of kernels and distance functions. the unifying approach behind our results is leveraging `low-dimensional structures' present in the specific functions $f$ that we study, using tools such as provable dimensionality reduction, approximation theory, and one-dimensional decomposition of the functions. our algorithms empirically exhibit improved query times and accuracy over prior state of the art. we also present an application to dp classification. our experiments demonstrate that the simple methodology of classifying based on average similarity is orders of magnitude faster than prior dp-sgd based approaches for comparable accuracy.",2024-03-13
"12","people attribute purpose to autonomous vehicles when explaining their behavior","balint gyevnar, stephanie droop, tadeg quillien","human-computer interaction","a hallmark of a good xai system is explanations that users can understand and act on. in many cases, this requires a system to offer causal or counterfactual explanations that are intelligible. cognitive science can help us understand what kinds of explanations users might expect, and in which format to frame these explanations. we briefly review relevant literature from the cognitive science of explanation, particularly as it concerns teleology, the tendency to explain a decision in terms of the purpose it was meant to achieve. we then report empirical data on how people generate explanations for the behavior of autonomous vehicles, and how they evaluate these explanations. in a first survey, participants (n=54) were shown videos of a road scene and asked to generate either mechanistic, counterfactual, or teleological verbal explanations for a vehicle's actions. in the second survey, a different set of participants (n=356) rated these explanations along various metrics including quality, trustworthiness, and how much each explanatory mode was emphasized in the explanation. participants deemed mechanistic and teleological explanations as significantly higher quality than counterfactual explanations. in addition, perceived teleology was the best predictor of perceived quality and trustworthiness. neither perceived teleology nor quality ratings were affected by whether the car whose actions were being explained was an autonomous vehicle or was being driven by a person. the results show people use and value teleological concepts to evaluate information about both other people and autonomous vehicles, indicating they find the 'intentional stance' a convenient abstraction. we make our dataset of annotated video situations with explanations, called human explanations for autonomous driving decisions (headd), publicly available, which we hope will prompt further research.",2024-03-11
"13","improved randomized approximation of hard universality and emptiness problems","pantelis andreou, stavros konstantinidis, taylor j. smith","data structures and algorithms","we build on recent research on polynomial randomized approximation (prax) algorithms for the hard problems of nfa universality and nfa equivalence. loosely speaking, prax algorithms use sampling of infinite domains within any desired accuracy $\delta$. in the spirit of experimental mathematics, we extend the concept of prax algorithms to be applicable to the emptiness and universality problems in any domain whose instances admit a tractable distribution as defined in this paper. a technical result here is that a linear (w.r.t. $1/\delta$) number of samples is sufficient, as opposed to the quadratic number of samples in previous papers. we show how the improved and generalized prax algorithms apply to universality and emptiness problems in various domains: ordinary automata, tautology testing of propositions, 2d automata, and to solution sets of certain diophantine equations.",2024-03-13
"14","zero-shot and few-shot generation strategies for artificial clinical records","erlend frayling, jake lever, graham mcdonald","computation and language","the challenge of accessing historical patient data for clinical research, while adhering to privacy regulations, is a significant obstacle in medical science. an innovative approach to circumvent this issue involves utilising synthetic medical records that mirror real patient data without compromising individual privacy. the creation of these synthetic datasets, particularly without using actual patient data to train large language models (llms), presents a novel solution as gaining access to sensitive patient information to train models is also a challenge. this study assesses the capability of the llama 2 llm to create synthetic medical records that accurately reflect real patient information, employing zero-shot and few-shot prompting strategies for comparison against fine-tuned methodologies that do require sensitive patient data during training. we focus on generating synthetic narratives for the history of present illness section, utilising data from the mimic-iv dataset for comparison. in this work introduce a novel prompting technique that leverages a chain-of-thought approach, enhancing the model's ability to generate more accurate and contextually relevant medical narratives without prior fine-tuning. our findings suggest that this chain-of-thought prompted approach allows the zero-shot model to achieve results on par with those of fine-tuned models, based on rouge metrics evaluation.",2024-03-13
"15","opportunities and open questions in modern $β$ decay","leendert hayen","nuclear theory","for well over half a century, precision studies of neutron and nuclear $\beta$ decays have been at the forefront of searches for exotic electroweak physics. recent advances in nuclear ab initio theory and the widespread use of effective field theories means that its modern understanding is going through a transitional phase. this has been propelled by current tensions in the global data set leading to renewed scrutiny of its theoretical ingredients. in parallel, a host of novel techniques and methods are being investigated that are able to sidestep many traditional systematic uncertainties and require a diverse palette of skills and collaboration with material science and condensed matter physics. we highlight the current opportunities and open questions with the aim of facilitating the transition to a more modern understanding of $\beta$ decay.",2024-03-13
"16","worst-case to expander-case reductions: derandomized and generalized","amir abboud, nathan wallheimer","data structures and algorithms","a recent paper by abboud and wallheimer [itcs 2023] presents self-reductions for various fundamental graph problems, that transform worst-case instances to expanders, thus proving that the complexity remains unchanged if the input is assumed to be an expander. an interesting corollary of their self-reductions is that, if some problem admit such reduction, then the popular algorithmic paradigm based on expander-decompositions is useless against it. in this paper, we improve their core gadget, which augments a graph to make it an expander while retaining its important structure. our new core construction has the benefit of being simple to analyze and generalize, while obtaining the following results: 1. a derandomization of the self-reductions, showing that the equivalence between worst-case and expander-case holds even for deterministic algorithms, and ruling out the use of expander-decompositions as a derandomization tool. 2. an extension of the results to other models of computation, such as the fully dynamic model and the congested clique model. in the former, we either improve or provide an alternative approach to some recent hardness results for dynamic expander graphs, by henzinger, paz, and sricharan [esa 2022]. in addition, we continue this line of research by designing new self-reductions for more problems, such as max-cut and dynamic densest subgraph, and demonstrating that the core gadget can be utilized to lift lower bounds based on the omv conjecture to expanders.",2024-03-13
"17","cleanagent: automating data standardization with llm-based agents","danrui qi, jiannan wang","machine learning","data standardization is a crucial part in data science life cycle. while tools like pandas offer robust functionalities, their complexity and the manual effort required for customizing code to diverse column types pose significant challenges. although large language models (llms) like chatgpt have shown promise in automating this process through natural language understanding and code generation, it still demands expert-level programming knowledge and continuous interaction for prompt refinement. to solve these challenges, our key idea is to propose a python library with declarative, unified apis for standardizing column types, simplifying the code generation of llm with concise api calls. we first propose dataprep.clean which is written as a component of the dataprep library, offers a significant reduction in complexity by enabling the standardization of specific column types with a single line of code. then we introduce the cleanagent framework integrating dataprep.clean and llm-based agents to automate the data standardization process. with cleanagent, data scientists need only provide their requirements once, allowing for a hands-free, automatic standardization process.",2024-03-13
"18","height-bounded lempel-ziv encodings","hideo bannai, mitsuru funakoshi, diptarama hendrian, myuji matsuda, simon j. puglisi","data structures and algorithms","we introduce height-bounded lz encodings (lzhb), a new family of compressed representations that is a variant of lempel-ziv parsings with a focus on allowing fast access to arbitrary positions of the text directly via the compressed representation. any lzhb encoding whose referencing height is bounded by $h$ allows access to an arbitrary position of the underlying text using $o(h)$ predecessor queries. we show that there exists a constant $c$ such that the size $\hat{z}_{\mathit{hb}(c\log n)}$ of the optimal (smallest) lzhb encoding whose height is bounded by $c\log n$ for any string of length $n$ is $o(\hat{g}_{\mathrm{rl}})$, where $\hat{g}_{\mathrm{rl}}$ is the size of the smallest run-length grammar. furthermore, we show that there exists a family of strings such that $\hat{z}_{\mathit{hb}(c\log n)} = o(\hat{g}_{\mathrm{rl}})$, thus making $\hat{z}_{\mathit{hb}(c\log n)}$ one of the smallest known repetitiveness measures for which $o(\mathit{polylog} n)$ time access is possible using $o(\hat{z}_{\mathit{hb}(c\log n)})$ space. while computing the optimal lzhb representation for any given height seems difficult, we propose linear and near linear time greedy algorithms which we show experimentally can efficiently find small lzhb representations in practice.",2024-03-13
"19","a bargain for mergesorts (functional pearl) -- how to prove your mergesort correct and stable, almost for free","cyril cohen, kazuhiko sakaguchi","logic in computer science","we present a novel characterization of stable mergesort functions using relational parametricity, and show that it implies the correctness of mergesort. as a result, one can prove the correctness of several variations of mergesort (e.g., top-down, bottom-up, tail-recursive, non-tail-recursive, smooth, and non-smooth mergesorts) by proving the characterization property for each variation. to further motivate this work, we show a performance trade-off between tail-recursive and non-tail-recursive mergesorts that (1) the former in call-by-value evaluation avoids using up stack space and is efficient and (2) the latter in call-by-need evaluation is an optimal incremental sort, meaning that it performs only $\mathcal{o}(n + k \log k)$ comparisons to compute the least (or greatest) $k$ items of a list of length $n$. thanks to our characterization and the parametricity translation, we deduced the correctness results, including stability, of various implementations of mergesort for lists, including highly optimized ones, in the coq proof assistant.",2024-03-13
"20","the runtime of random local search on the generalized needle problem","benjamin doerr, andrew james kelley","neural and evolutionary computing","in their recent work, c. doerr and krejca (transactions on evolutionary computation, 2023) proved upper bounds on the expected runtime of the randomized local search heuristic on generalized needle functions. based on these upper bounds, they deduce in a not fully rigorous manner a drastic influence of the needle radius $k$ on the runtime. in this short article, we add the missing lower bound necessary to determine the influence of parameter $k$ on the runtime. to this aim, we derive an exact description of the expected runtime, which also significantly improves the upper bound given by c. doerr and krejca. we also describe asymptotic estimates of the expected runtime.",2024-03-13
"21","highway preferential attachment models for geographic routing","ofek gila (1), evrim ozel (1), michael t. goodrich (1), ((1) university of california, irvine)","data structures and algorithms","in the 1960s, the world-renowned social psychologist stanley milgram conducted experiments that showed that not only do there exist ``short chains'' of acquaintances between any two arbitrary people, but that these arbitrary strangers are able to find these short chains. this phenomenon, known as the \emph{small-world phenomenon}, is explained in part by any model that has a low diameter, such as the barabási and albert's \emph{preferential attachment} model, but these models do not display the same efficient routing that milgram's experiments showed. in the year 2000, kleinberg proposed a model with an efficient $\mathcal{o}(\log^2{n})$ greedy routing algorithm. in 2004, martel and nguyen showed that kleinberg's analysis was tight, while also showing that kleinberg's model had an expected diameter of only $\theta(\log{n})$ -- a much smaller value than the greedy routing algorithm's path lengths. in 2022, goodrich and ozel proposed the \emph{neighborhood preferential attachment} model (npa), combining elements from barabási and albert's model with kleinberg's model, and experimentally showed that the resulting model outperformed kleinberg's greedy routing performance on u.s. road networks. while they displayed impressive empirical results, they did not provide any theoretical analysis of their model. in this paper, we first provide a theoretical analysis of a generalization of kleinberg's original model and show that it can achieve expected $\mathcal{o}(\log{n})$ routing, a much better result than kleinberg's model. we then propose a new model, \emph{windowed npa}, that is similar to the neighborhood preferential attachment model but has provable theoretical guarantees w.h.p. we show that this model is able to achieve $\mathcal{o}(\log^{1 + \epsilon}{n})$ greedy routing for any $\epsilon > 0$.",2024-03-12
"22","preserving automotive heritage: a blockchain-based solution for secure documentation of classic cars restoration","josé murta, vasco amaral, fernando brito e abreu","computers and society","classic automobiles are an important part of the automotive industry and represent the historical and technological achievements of certain eras. however, to be considered masterpieces, they must be maintained in pristine condition or restored according to strict guidelines applied by expert services. therefore, all data about restoration processes and other relevant information about these vehicles must be rigorously documented to ensure their verifiability and immutability. here, we report on our ongoing research to adequately provide such capabilities to the classic car ecosystem. using a design science research approach, we have developed a blockchain-based solution using hyperledger fabric that facilitates the proper recording of classic car information, restoration procedures applied, and all related documentation by ensuring that this data is immutable and trustworthy while promoting collaboration between interested parties. this solution was validated and received positive feedback from various entities in the classic car sector. the enhanced and secured documentation is expected to contribute to the digital transformation of the classic car sector, promote authenticity and trustworthiness, and ultimately increase the market value of classic cars.",2024-03-12
"23","feasibility of machine learning-based rice yield prediction in india at the district level using climate reanalysis data","djavan de clercq, adam mahdi","machine learning","yield forecasting, the science of predicting agricultural productivity before the crop harvest occurs, helps a wide range of stakeholders make better decisions around agricultural planning. this study aims to investigate whether machine learning-based yield prediction models can capably predict kharif season rice yields at the district level in india several months before the rice harvest takes place. the methodology involved training 19 machine learning models such as catboost, lightgbm, orthogonal matching pursuit, and extremely randomized trees on 20 years of climate, satellite, and rice yield data across 247 of indian rice-producing districts. in addition to model-building, a dynamic dashboard was built understand how the reliability of rice yield predictions varies across districts. the results of the proof-of-concept machine learning pipeline demonstrated that rice yields can be predicted with a reasonable degree of accuracy, with out-of-sample r2, mae, and mape performance of up to 0.82, 0.29, and 0.16 respectively. these results outperformed test set performance reported in related literature on rice yield modeling in other contexts and countries. in addition, shap value analysis was conducted to infer both the importance and directional impact of the climate and remote sensing variables included in the model. important features driving rice yields included temperature, soil water volume, and leaf area index. in particular, higher temperatures in august correlate with increased rice yields, particularly when the leaf area index in august is also high. building on the results, a proof-of-concept dashboard was developed to allow users to easily explore which districts may experience a rise or fall in yield relative to the previous year.",2024-03-12
"24","applying ranking techniques for estimating influence of earth variables on temperature forecast error","m. julia flores, melissa ruiz-vásquez, ana bastos, rené orth","machine learning","this paper describes how to analyze the influence of earth system variables on the errors when providing temperature forecasts. the initial framework to get the data has been based on previous research work, which resulted in a very interesting discovery. however, the aforementioned study only worked on individual correlations of the variables with respect to the error. this research work is going to re-use the main ideas but introduce three main novelties: (1) applying a data science approach by a few representative locations; (2) taking advantage of the rankings created by spearman correlation but enriching them with other metrics looking for a more robust ranking of the variables; (3) evaluation of the methodology by learning random forest models for regression with the distinct experimental variations. the main contribution is the framework that shows how to convert correlations into rankings and combine them into an aggregate ranking. we have carried out experiments on five chosen locations to analyze the behavior of this ranking-based methodology. the results show that the specific performance is dependent on the location and season, which is expected, and that this selection technique works properly with random forest models but can also improve simpler regression models such as bayesian ridge. this work also contributes with an extensive analysis of the results. we can conclude that this selection based on the top-k ranked variables seems promising for this real problem, and it could also be applied in other domains.",2024-03-12
"25","standing on furm ground -- a framework for evaluating fair, useful, and reliable ai models in healthcare systems","alison callahan, duncan mcelfresh, juan m. banda, gabrielle bunney, danton char, jonathan chen, conor k. corbin, debadutta dash, norman l. downing, srikar nallan, sneha s. jain, nikesh kotecha, jonathan masterson, michelle m. mello, keith morse, abby pandya, anurang revri, aditya sharma, christopher sharp, rahul thapa, michael wornow, alaa youssef, michael a. pfeffer, nigam h. shah","computers and society","the impact of using artificial intelligence (ai) to guide patient care or operational processes is an interplay of the ai model's output, the decision-making protocol based on that output, and the capacity of the stakeholders involved to take the necessary subsequent action. estimating the effects of this interplay before deployment, and studying it in real time afterwards, are essential to bridge the chasm between ai model development and achievable benefit. to accomplish this, the data science team at stanford health care has developed a mechanism to identify fair, useful and reliable ai models (furm) by conducting an ethical review to identify potential value mismatches, simulations to estimate usefulness, financial projections to assess sustainability, as well as analyses to determine it feasibility, design a deployment strategy, and recommend a prospective monitoring and evaluation plan. we report on furm assessments done to evaluate six ai guided solutions for potential adoption, spanning clinical and operational settings, each with the potential to impact from several dozen to tens of thousands of patients each year. we describe the assessment process, summarize the six assessments, and share our framework to enable others to conduct similar assessments. of the six solutions we assessed, two have moved into a planning and implementation phase. our novel contributions - usefulness estimates by simulation, financial projections to quantify sustainability, and a process to do ethical assessments - as well as their underlying methods and open source tools, are available for other healthcare systems to conduct actionable evaluations of candidate ai solutions.",2024-02-27
"26","low coordinate degree algorithms i: universality of computational thresholds for hypothesis testing","dmitriy kunisky","statistics theory","we study when low coordinate degree functions (lcdf) -- linear combinations of functions depending on small subsets of entries of a vector -- can hypothesis test between high-dimensional probability measures. these functions are a generalization, proposed in hopkins' 2018 thesis but seldom studied since, of low degree polynomials (ldp), a class widely used in recent literature as a proxy for all efficient algorithms for tasks in statistics and optimization. instead of the orthogonal polynomial decompositions used in ldp calculations, our analysis of lcdf is based on the efron-stein or anova decomposition, making it much more broadly applicable. by way of illustration, we prove channel universality for the success of lcdf in testing for the presence of sufficiently ""dilute"" random signals through noisy channels: the efficacy of lcdf depends on the channel only through the scalar fisher information for a class of channels including nearly arbitrary additive i.i.d. noise and nearly arbitrary exponential families. as applications, we extend lower bounds against ldp for spiked matrix and tensor models under additive gaussian noise to lower bounds against lcdf under general noisy channels. we also give a simple and unified treatment of the effect of censoring models by erasing observations at random and of quantizing models by taking the sign of the observations. these results are the first computational lower bounds against any large class of algorithms for all of these models when the channel is not one of a few special cases, and thereby give the first substantial evidence for the universality of several statistical-to-computational gaps.",2024-03-12
"27","simplified tight bounds for monotone minimal perfect hashing","dmitry kosolobov","data structures and algorithms","given an increasing sequence of integers $x_1,\ldots,x_n$ from a universe $\{0,\ldots,u-1\}$, the monotone minimal perfect hash function (mmphf) for this sequence is a data structure that answers the following rank queries: $rank(x) = i$ if $x = x_i$, for $i\in \{1,\ldots,n\}$, and $rank(x)$ is arbitrary otherwise. assadi, farach-colton, and kuszmaul recently presented at soda'23 a proof of the lower bound $\omega(n \min\{\log\log\log u, \log n\})$ for the bits of space required by mmphf, provided $u \ge n 2^{2^{\sqrt{\log\log n}}}$, which is tight since there is a data structure for mmphf that attains this space bound (and answers the queries in $o(\log u)$ time). in this paper, we close the remaining gap by proving that, for $u \ge (1+\epsilon)n$, where $\epsilon > 0$ is any constant, the tight lower bound is $\omega(n \min\{\log\log\log \frac{u}{n}, \log n\})$, which is also attainable; we observe that, for all reasonable cases when $n < u < (1+\epsilon)n$, known facts imply tight bounds, which virtually settles the problem. along the way we substantially simplify the proof of assadi et al. replacing a part of their heavy combinatorial machinery by trivial observations. however, an important part of the proof still remains complicated. this part of our paper repeats arguments of assadi et al. and is not novel. nevertheless, we include it, for completeness, offering a somewhat different perspective on these arguments.",2024-03-12
