"","category","name","reviewer","review","date","ratings"
"18","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Smarty","







  
  
    I like the colour I like the design and a comfort but they do come up very narrow. I usually wear size 8 couldn't even get into those. if you plan it to wear them like a flip-flop ie no socks, then one size up will do but if you're planning to wear socks with it as seems to be the fashion at the moment you probably need to go up another size. Beat on mind this is the aqua version.That said even a size up the left is very tight the right is fine. Usually it is the other way around for me. And I checked and has size 9 embossed.
  
","Reviewed in the United Kingdom on 1 November 2023","4.0 out of 5 stars"
"19","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","LEO ","







  
    Son cómodas a pesar de que no son suaves, no pesan y no se resbalan.
  
  
","Reviewed in Mexico on 30 December 2023","4.3 out of 5 stars"
"20","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Maddie","







  
    Muy buenas sandalias de material duro y cómodas solo qué hay que pedir un número más, vienen reducidas.
  
  
","Reviewed in Mexico on 9 July 2023","4.4 out of 5 stars"
"21","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","adidas Men's Adilette Aqua Slipper","







  
  
    order 1 size bigger, usually i wear 11 but had to get 12
  
","Reviewed in the United Kingdom on 18 November 2023","4.1 out of 5 stars"
"22","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Amazon Customer","







  
  
    These are super sliders, good value. Unfortunately size 13 but not wide enough for my husband’s broad feet. However, my grandson is delighted with them!
  
","Reviewed in the United Kingdom on 23 October 2023","Previous page"
"23","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Amazon Customer","







  
  
    Adidas slider sandals: ""Adilette Aqua"" FY8047; SIZE 9UK &US; FR 43; JP 275; CHN 265. Made in Vietnam. New, original, in sealed bag with QR & BAR CODES factory stickers, & ADIDAS Hanger. Sold & delivered by Amazon UK, at a welcome discount. The Mrs & I have had items, such as clothes, (and even a 2016 MICROSOFT 640XL, which still works well for calls & SMS, and calculations) made in Vietnam; and found their quality control high. * A light blue, with white stripes across the instep, which, I realised would suit a neighbour, as they match his Fiat 500 - so I really should show them to him! There is enclosed a long list, on a small card, of 21 activities, which the sandals are suitable for - including walking, cycling, golf, & swimming - but not for bobsleighing, before anyone asks! These are of a strong build quality, & a good fit across the instep; & leave a generous gap of around 3cm, front & rear, which I require as a buffer zone for my toes & heals (my normal size is UK 9.) CONCLUSION: Recommended on quality for the price. If, like myself, you can be a bit clumsy, with a long history of broken crockery and glasses; and I  never want to walk again into an abandoned wooden pallet - in flip flops, - I also recommend your choosing your usual shoe size, as a generous fit, or one size up! ❗ UPDATE: mid-July 2023. I have sunk into the sole of the sandals, as per the shape of my feet. I recently saw a young man  in a park in Nike sliders, who had sunk further into his, than I; likely, he paid a lot more for his! *In comparison, the chunky Mrs has not sunk into her genuine CROCS (See my Review.) They were on offer; and I ordered a pair of unattractive White ones, on price, and minus the badge, but they were waaaay too big, even with socks on. So, I recommend the CROCS, if on offer, and if you order one size up, which worked for her. If on a firm budget, seems only the company name is the difference with the competition. The Mrs is very pleased with her CROCS, so, then, I am not subject to her kicking them off in my direction!
  
","Reviewed in the United Kingdom on 2 July 2023","Next page"
"24","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Miroslav Nedevski","







  
  
    The Adidas slippers I purchased on Amazon have been a delightful addition to my daily routine. Though a bit pricey, they prove to be worth every penny. The perfect fit for my size adds to the overall comfort. I find myself using them daily around the house or for quick local outings, and they've been a game-changer. What's particularly impressive is how they resist getting dirty easily, maintaining their sleek appearance. Despite the initial cost, the durability, comfort, and style make these Adidas slippers a valuable investment that I'm happy to have made.
  
","Reviewed in the United Kingdom on 20 December 2023","Previous page"
"25","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Hilary","







  
  
    These Adidas slippers would have been perfect if they had of fitted correctly! They are a lot smaller than they should be! I had ordered a size 10 for my son but they were more like a size 8/9! But other than that they are fine. These are obviously NOT the Brand make of Adidas! So if ordering bear this in mind, and order up in size. They are good value for money if you are looking for a budget slider!
  
","Reviewed in the United Kingdom on 6 February 2024","4.2 out of 5 stars"
"26","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Rich","







  
  
    These are lovely to wear. Comfortable and soft soled. The actual slip on is as light as a feather. They are weightless. I'm delighted with them
  
","Reviewed in the United Kingdom on 1 February 2024","4.2 out of 5 stars"
"27","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Mohammed Hussain","







  
  
    Bought these as a Christmas present for my boyfriend to replace his old ones. They fit him perfectly although appear a lot smaller than his old ones, though appearing quite narrow they still fit his wide feet. They are made of a strong and high quality material which will hopefully last the same time or longer than his old pair which were also Adidas brand and pretty sure he had them for 8+ years. These are definitely great as easy to put on slides in the house and quick trips outside as well. They are fully rubber so also fully waterproof.
  
","Reviewed in the United Kingdom on 10 January 2024","4.2 out of 5 stars"
"28","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Smarty","







  
  
    I like the colour I like the design and a comfort but they do come up very narrow. I usually wear size 8 couldn't even get into those. if you plan it to wear them like a flip-flop ie no socks, then one size up will do but if you're planning to wear socks with it as seems to be the fashion at the moment you probably need to go up another size. Beat on mind this is the aqua version.That said even a size up the left is very tight the right is fine. Usually it is the other way around for me. And I checked and has size 9 embossed.
  
","Reviewed in the United Kingdom on 1 November 2023","4.0 out of 5 stars"
"29","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","LEO ","







  
    Son cómodas a pesar de que no son suaves, no pesan y no se resbalan.
  
  
","Reviewed in Mexico on 30 December 2023","4.3 out of 5 stars"
"30","Slides","        adidas Unisex's Adilette Aqua Slide Sandal       ","Maddie","







  
    Muy buenas sandalias de material duro y cómodas solo qué hay que pedir un número más, vienen reducidas.
  
  
","Reviewed in Mexico on 9 July 2023","4.4 out of 5 stars"
"31","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PUMA Unisex's Purecat Beach & Pool Shoes","







  
  
    Light & easy to wear, these fit to size and are comfortable.  Definitely a winner with our grandson!
  
","Reviewed in the United Kingdom on 31 December 2023","4.3 out of 5 stars"
"32","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Good quality and true to size.
  
","Reviewed in the United Kingdom on 18 February 2024","Previous page"
"33","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Hi. Just wanted to give quick impression on these flip flops.First of all the size. I put up photos that hopfully will help someone. I take exactly a size UK 8, but with these i took other reviewers advice and ordered a size Uk 9 (one size up from my norm)  I found that, if you look close at the photos, there is an indent/impression of a foot shape with toe grooves on the inside sole of the shoe. I found this part (the whole length of indent)  from indent heal to indent toe on the size 9 shoe, to be exactly a size UK 8, which leaves about half an inch front and back bettween my foot and the ends of shoe. Which is perfect. So if i had bought my normal size (size UK8) it would have been to small my foot would have been right up to both ends, whith no spare room. So i would recommend if you know your exact size, order a size up from that. ( sorry if this is all a bit confusing, lol, but its quite hard to explain/ Photos show it better)As for the shoe itself, for 12 pounds, i feel is an ok price for what they are. I only bought mine to use at the swimming pool, for use going to and from changing rooms, and for that purpose they are just fine. I do wear them around the house a little, but for me i wouldnt wear them full time, as i have quite wide feet and  find them a little tight on the band area. But this could just be because they are new im sure they will loosen over time, and it is not tight as in hurting, just a bit to much pressure for my liking, but i do have a touch arthritis in my toes, so that why the slight pressure bothers me. The soles are firm but soft enough, not squishy, i wouldnt want to walk any great distance in them, but they are not uncomfortable either.Overall, for the price they are just fine nothing special and nothing bad. For what i bought them for (use at swimming pool and popping in and out to the garden etc they are just fine and i wouldnt recommend them For wearing all day and using as your main footwear, in that scenario i would maybe spend more and get something more padded and comfy.As for longevity i cant say as yet, as i only had them a week, but they seem sturdy and well enough made.Anyways, hope this helps someone and any further questions feel free to ask.UPDATE: Just been using them for over a week. I originally said that i personally found them a little tight over the toes/foot, but i take that back now, they have loosend a little and top strap has molded to the shape of my foot. so all is good. no pressure on the top of my foot and they are nice and comfy :)All the best, Take care and stay safe. G :)
  
","Reviewed in the United Kingdom on 26 August 2020","Next page"
"34","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Andy Goss","Puma Purecat, Unisex Adults  Open Back Slippers, Blue (Peacoat/White), 5 UK (38 EU)







  
  
    TLDR: Nice to wear, comfy, anti slippery, multi purpose usePostage: This item was fulfilled by Amazon and therefore arrived very quickly.Packaging and branding: Came boxed and well packaged.Product purpose and features: Outer Material: SyntheticInner Material: ManmadeSole: EVAClosure: Slip-OnHeel Type: FlatFantastic product so comfortable can't wait to wear them on holiday once more.  I bought this for my hubby as we were on a rush to go away on a trip.  I was pleasantly suprise how comfy these slippers are.  It looks very durable too so I know that it is value for money and I will use it for a long time. Size also was fine and once more I am really pleased with my purchase on Amazonx x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xI spend a lot of time testing each item to make sure my review is correct.If you found the review helpful please click the 'YES' button if not please leave a comment on what is missing, or a ask a question before voting ""NO"".x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xxxxxxx
  
","Reviewed in the United Kingdom on 30 June 2016","4.3 out of 5 stars"
"35","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Sussex Buyer","







  
  
    These weren't what I was expecting. I am a size 10 and ordered the right size, they were very tight and uncomfortable to wear. I would suggest ordering a size above as to not be disappointed. Otherwise, very light and easy to clean.
  
","Reviewed in the United Kingdom on 20 October 2023","Previous page"
"36","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    These puma slides are very light weight to wear and are extremely comfortable to have on my feet when wandering around the house.
  
","Reviewed in the United Kingdom on 16 January 2024","4.2 out of 5 stars"
"37","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    When your feet are soaking wet these are great to wear in place of your slippers until you dry off.  Not sure about the durability as I haven't had them long enough but they seem durable.
  
","Reviewed in the United Kingdom on 7 February 2024","3.9 out of 5 stars"
"38","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Family Friendly Guide","







  
  
    Sizing is small
  
","Reviewed in the United Kingdom on 1 November 2023","4.4 out of 5 stars"
"39","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PaphosBound","







  
    PUMA no decepciona nunca. Excelente calidad. Muy recomendable
  
  
","Reviewed in Mexico on 21 June 2023","4.4 out of 5 stars"
"40","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Rosemount","







  
    Demasiado delgado
  
  
","Reviewed in Mexico on 4 January 2023","4.2 out of 5 stars"
"41","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PUMA Unisex's Purecat Beach & Pool Shoes","







  
  
    Light & easy to wear, these fit to size and are comfortable.  Definitely a winner with our grandson!
  
","Reviewed in the United Kingdom on 31 December 2023","4.3 out of 5 stars"
"42","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Good quality and true to size.
  
","Reviewed in the United Kingdom on 18 February 2024","Previous page"
"43","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Hi. Just wanted to give quick impression on these flip flops.First of all the size. I put up photos that hopfully will help someone. I take exactly a size UK 8, but with these i took other reviewers advice and ordered a size Uk 9 (one size up from my norm)  I found that, if you look close at the photos, there is an indent/impression of a foot shape with toe grooves on the inside sole of the shoe. I found this part (the whole length of indent)  from indent heal to indent toe on the size 9 shoe, to be exactly a size UK 8, which leaves about half an inch front and back bettween my foot and the ends of shoe. Which is perfect. So if i had bought my normal size (size UK8) it would have been to small my foot would have been right up to both ends, whith no spare room. So i would recommend if you know your exact size, order a size up from that. ( sorry if this is all a bit confusing, lol, but its quite hard to explain/ Photos show it better)As for the shoe itself, for 12 pounds, i feel is an ok price for what they are. I only bought mine to use at the swimming pool, for use going to and from changing rooms, and for that purpose they are just fine. I do wear them around the house a little, but for me i wouldnt wear them full time, as i have quite wide feet and  find them a little tight on the band area. But this could just be because they are new im sure they will loosen over time, and it is not tight as in hurting, just a bit to much pressure for my liking, but i do have a touch arthritis in my toes, so that why the slight pressure bothers me. The soles are firm but soft enough, not squishy, i wouldnt want to walk any great distance in them, but they are not uncomfortable either.Overall, for the price they are just fine nothing special and nothing bad. For what i bought them for (use at swimming pool and popping in and out to the garden etc they are just fine and i wouldnt recommend them For wearing all day and using as your main footwear, in that scenario i would maybe spend more and get something more padded and comfy.As for longevity i cant say as yet, as i only had them a week, but they seem sturdy and well enough made.Anyways, hope this helps someone and any further questions feel free to ask.UPDATE: Just been using them for over a week. I originally said that i personally found them a little tight over the toes/foot, but i take that back now, they have loosend a little and top strap has molded to the shape of my foot. so all is good. no pressure on the top of my foot and they are nice and comfy :)All the best, Take care and stay safe. G :)
  
","Reviewed in the United Kingdom on 26 August 2020","Next page"
"44","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Andy Goss","Puma Purecat, Unisex Adults  Open Back Slippers, Blue (Peacoat/White), 5 UK (38 EU)







  
  
    TLDR: Nice to wear, comfy, anti slippery, multi purpose usePostage: This item was fulfilled by Amazon and therefore arrived very quickly.Packaging and branding: Came boxed and well packaged.Product purpose and features: Outer Material: SyntheticInner Material: ManmadeSole: EVAClosure: Slip-OnHeel Type: FlatFantastic product so comfortable can't wait to wear them on holiday once more.  I bought this for my hubby as we were on a rush to go away on a trip.  I was pleasantly suprise how comfy these slippers are.  It looks very durable too so I know that it is value for money and I will use it for a long time. Size also was fine and once more I am really pleased with my purchase on Amazonx x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xI spend a lot of time testing each item to make sure my review is correct.If you found the review helpful please click the 'YES' button if not please leave a comment on what is missing, or a ask a question before voting ""NO"".x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xxxxxxx
  
","Reviewed in the United Kingdom on 30 June 2016","4.3 out of 5 stars"
"45","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Sussex Buyer","







  
  
    These weren't what I was expecting. I am a size 10 and ordered the right size, they were very tight and uncomfortable to wear. I would suggest ordering a size above as to not be disappointed. Otherwise, very light and easy to clean.
  
","Reviewed in the United Kingdom on 20 October 2023","Previous page"
"46","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    These puma slides are very light weight to wear and are extremely comfortable to have on my feet when wandering around the house.
  
","Reviewed in the United Kingdom on 16 January 2024","4.2 out of 5 stars"
"47","Slides","        PUMA Unisex's Purecat Slide Sandal       ","gordon ","







  
  
    When your feet are soaking wet these are great to wear in place of your slippers until you dry off.  Not sure about the durability as I haven't had them long enough but they seem durable.
  
","Reviewed in the United Kingdom on 7 February 2024","3.9 out of 5 stars"
"48","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Family Friendly Guide","







  
  
    Sizing is small
  
","Reviewed in the United Kingdom on 1 November 2023","4.4 out of 5 stars"
"49","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PaphosBound","







  
    PUMA no decepciona nunca. Excelente calidad. Muy recomendable
  
  
","Reviewed in Mexico on 21 June 2023","4.4 out of 5 stars"
"50","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Rosemount","







  
    Demasiado delgado
  
  
","Reviewed in Mexico on 4 January 2023","4.2 out of 5 stars"
"51","Slides","        PUMA Unisex's Purecat Slide Sandal       ","PUMA Unisex's Purecat Beach & Pool Shoes","







  
  
    Light & easy to wear, these fit to size and are comfortable.  Definitely a winner with our grandson!
  
","Reviewed in the United Kingdom on 31 December 2023","4.3 out of 5 stars"
"52","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Good quality and true to size.
  
","Reviewed in the United Kingdom on 18 February 2024","Previous page"
"53","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Amazon Customer","







  
  
    Hi. Just wanted to give quick impression on these flip flops.First of all the size. I put up photos that hopfully will help someone. I take exactly a size UK 8, but with these i took other reviewers advice and ordered a size Uk 9 (one size up from my norm)  I found that, if you look close at the photos, there is an indent/impression of a foot shape with toe grooves on the inside sole of the shoe. I found this part (the whole length of indent)  from indent heal to indent toe on the size 9 shoe, to be exactly a size UK 8, which leaves about half an inch front and back bettween my foot and the ends of shoe. Which is perfect. So if i had bought my normal size (size UK8) it would have been to small my foot would have been right up to both ends, whith no spare room. So i would recommend if you know your exact size, order a size up from that. ( sorry if this is all a bit confusing, lol, but its quite hard to explain/ Photos show it better)As for the shoe itself, for 12 pounds, i feel is an ok price for what they are. I only bought mine to use at the swimming pool, for use going to and from changing rooms, and for that purpose they are just fine. I do wear them around the house a little, but for me i wouldnt wear them full time, as i have quite wide feet and  find them a little tight on the band area. But this could just be because they are new im sure they will loosen over time, and it is not tight as in hurting, just a bit to much pressure for my liking, but i do have a touch arthritis in my toes, so that why the slight pressure bothers me. The soles are firm but soft enough, not squishy, i wouldnt want to walk any great distance in them, but they are not uncomfortable either.Overall, for the price they are just fine nothing special and nothing bad. For what i bought them for (use at swimming pool and popping in and out to the garden etc they are just fine and i wouldnt recommend them For wearing all day and using as your main footwear, in that scenario i would maybe spend more and get something more padded and comfy.As for longevity i cant say as yet, as i only had them a week, but they seem sturdy and well enough made.Anyways, hope this helps someone and any further questions feel free to ask.UPDATE: Just been using them for over a week. I originally said that i personally found them a little tight over the toes/foot, but i take that back now, they have loosend a little and top strap has molded to the shape of my foot. so all is good. no pressure on the top of my foot and they are nice and comfy :)All the best, Take care and stay safe. G :)
  
","Reviewed in the United Kingdom on 26 August 2020","Next page"
"54","Slides","        PUMA Unisex's Purecat Slide Sandal       ","Andy Goss","Puma Purecat, Unisex Adults  Open Back Slippers, Blue (Peacoat/White), 5 UK (38 EU)







  
  
    TLDR: Nice to wear, comfy, anti slippery, multi purpose usePostage: This item was fulfilled by Amazon and therefore arrived very quickly.Packaging and branding: Came boxed and well packaged.Product purpose and features: Outer Material: SyntheticInner Material: ManmadeSole: EVAClosure: Slip-OnHeel Type: FlatFantastic product so comfortable can't wait to wear them on holiday once more.  I bought this for my hubby as we were on a rush to go away on a trip.  I was pleasantly suprise how comfy these slippers are.  It looks very durable too so I know that it is value for money and I will use it for a long time. Size also was fine and once more I am really pleased with my purchase on Amazonx x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xI spend a lot of time testing each item to make sure my review is correct.If you found the review helpful please click the 'YES' button if not please leave a comment on what is missing, or a ask a question before voting ""NO"".x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xxxxxxx
  
","Reviewed in the United Kingdom on 30 June 2016","4.3 out of 5 stars"
